missing data:, sediment, on date:, 10,12,2005, filled with average monthly concentration (mg/L):, 25.9935, to get load of (kg/d):, 24.802 
missing data:, sediment, on date:, 10,13,2005, filled with average monthly concentration (mg/L):, 24.5957, to get load of (kg/d):, 17.2702 
missing data:, sediment, on date:, 10,14,2005, filled with average monthly concentration (mg/L):, 24.6094, to get load of (kg/d):, 20.5312 
missing data:, sediment, on date:, 10,15,2005, filled with average monthly concentration (mg/L):, 25.2766, to get load of (kg/d):, 30.4877 
missing data:, sediment, on date:, 10,16,2005, filled with average monthly concentration (mg/L):, 25.4772, to get load of (kg/d):, 14.3363 
missing data:, sediment, on date:, 10,20,2005, filled with average monthly concentration (mg/L):, 27.4537, to get load of (kg/d):, 13.1648 
missing data:, sediment, on date:, 10,21,2005, filled with average monthly concentration (mg/L):, 27.467, to get load of (kg/d):, 11.6928 
missing data:, sediment, on date:, 10,22,2005, filled with average monthly concentration (mg/L):, 26.4422, to get load of (kg/d):, 14.6852 
missing data:, sediment, on date:, 10,23,2005, filled with average monthly concentration (mg/L):, 25.3461, to get load of (kg/d):, 11.6581 
missing data:, sediment, on date:, 10,29,2005, filled with average monthly concentration (mg/L):, 21.6277, to get load of (kg/d):, 151.3335 
missing data:, sediment, on date:, 11,4,2005, filled with average monthly concentration (mg/L):, 20.2042, to get load of (kg/d):, 41.5221 
missing data:, sediment, on date:, 11,5,2005, filled with average monthly concentration (mg/L):, 19.3587, to get load of (kg/d):, 30.8804 
missing data:, sediment, on date:, 11,6,2005, filled with average monthly concentration (mg/L):, 17.9403, to get load of (kg/d):, 37.2206 
missing data:, sediment, on date:, 11,29,2005, filled with average monthly concentration (mg/L):, 155.8178, to get load of (kg/d):, 5489.5595 
missing data:, sediment, on date:, 11,30,2005, filled with average monthly concentration (mg/L):, 237.9958, to get load of (kg/d):, 13275.8395 
missing data:, sediment, on date:, 12,1,2005, filled with average monthly concentration (mg/L):, 195.3934, to get load of (kg/d):, 8222.354 
missing data:, sediment, on date:, 12,2,2005, filled with average monthly concentration (mg/L):, 121.989, to get load of (kg/d):, 3551.6115 
missing data:, sediment, on date:, 12,3,2005, filled with average monthly concentration (mg/L):, 84.8728, to get load of (kg/d):, 1671.5612 
missing data:, sediment, on date:, 12,4,2005, filled with average monthly concentration (mg/L):, 73.9266, to get load of (kg/d):, 1054.4534 
missing data:, sediment, on date:, 12,20,2005, filled with average monthly concentration (mg/L):, 25.2204, to get load of (kg/d):, 38.2561 
