missing data:, DRP, on date:, 12,13,2004, filled with average monthly concentration (mg/L):, 0.098088, to get load of (kg/d):, 3287.7277 
missing data:, DRP, on date:, 12,14,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 2636.0878 
missing data:, DRP, on date:, 12,15,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 2016.119 
missing data:, DRP, on date:, 12,16,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 1713.4571 
missing data:, DRP, on date:, 12,17,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 1344.893 
missing data:, DRP, on date:, 12,18,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 905.545 
missing data:, DRP, on date:, 12,19,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 568.7115 
missing data:, DRP, on date:, 12,20,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 605.3239 
missing data:, DRP, on date:, 12,21,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 473.5195 
missing data:, DRP, on date:, 12,22,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 317.3069 
missing data:, DRP, on date:, 12,23,2004, filled with average monthly concentration (mg/L):, 0.099765, to get load of (kg/d):, 268.4904 
missing data:, DRP, on date:, 12,30,2004, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 510.3245 
missing data:, DRP, on date:, 12,31,2004, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 909.4244 
missing data:, DRP, on date:, 1,1,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 3794.7205 
missing data:, DRP, on date:, 1,2,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 5125.0536 
missing data:, DRP, on date:, 1,3,2005, filled with average monthly concentration (mg/L):, 0.08914, to get load of (kg/d):, 5866.5507 
