missing data:, TN, on date:, 10,11,2003, filled with average monthly concentration (mg/L):, 4.3858, to get load of (kg/d):, 11481.207 
missing data:, TN, on date:, 10,12,2003, filled with average monthly concentration (mg/L):, 4.5396, to get load of (kg/d):, 13216.6245 
missing data:, TN, on date:, 10,13,2003, filled with average monthly concentration (mg/L):, 4.7287, to get load of (kg/d):, 13535.9075 
missing data:, TN, on date:, 12,10,2003, filled with average monthly concentration (mg/L):, 7.1922, to get load of (kg/d):, 105928.7502 
missing data:, TN, on date:, 12,13,2003, filled with average monthly concentration (mg/L):, 7.1922, to get load of (kg/d):, 313211.2546 
missing data:, TN, on date:, 12,14,2003, filled with average monthly concentration (mg/L):, 7.1252, to get load of (kg/d):, 212674.7462 
missing data:, TN, on date:, 12,15,2003, filled with average monthly concentration (mg/L):, 7.095, to get load of (kg/d):, 114392.719 
missing data:, TN, on date:, 12,16,2003, filled with average monthly concentration (mg/L):, 7.0854, to get load of (kg/d):, 98636.2604 
missing data:, TN, on date:, 12,17,2003, filled with average monthly concentration (mg/L):, 7.0595, to get load of (kg/d):, 89294.5103 
missing data:, TN, on date:, 12,18,2003, filled with average monthly concentration (mg/L):, 7.1473, to get load of (kg/d):, 89005.1585 
missing data:, TN, on date:, 12,19,2003, filled with average monthly concentration (mg/L):, 7.191, to get load of (kg/d):, 92892.1282 
missing data:, TN, on date:, 12,20,2003, filled with average monthly concentration (mg/L):, 7.1933, to get load of (kg/d):, 81659.2672 
missing data:, TN, on date:, 12,21,2003, filled with average monthly concentration (mg/L):, 7.2193, to get load of (kg/d):, 61288.8507 
missing data:, TN, on date:, 12,22,2003, filled with average monthly concentration (mg/L):, 7.1246, to get load of (kg/d):, 49155.312 
missing data:, TN, on date:, 12,23,2003, filled with average monthly concentration (mg/L):, 7.0171, to get load of (kg/d):, 78972.1065 
missing data:, TN, on date:, 1,3,2004, filled with average monthly concentration (mg/L):, 7.0612, to get load of (kg/d):, 109182.0776 
missing data:, TN, on date:, 1,4,2004, filled with average monthly concentration (mg/L):, 6.9403, to get load of (kg/d):, 160460.0892 
missing data:, TN, on date:, 1,6,2004, filled with average monthly concentration (mg/L):, 6.5849, to get load of (kg/d):, 486537.9053 
missing data:, TN, on date:, 1,7,2004, filled with average monthly concentration (mg/L):, 6.3965, to get load of (kg/d):, 420972.3954 
missing data:, TN, on date:, 1,8,2004, filled with average monthly concentration (mg/L):, 6.3096, to get load of (kg/d):, 313367.0813 
missing data:, TN, on date:, 1,9,2004, filled with average monthly concentration (mg/L):, 6.2098, to get load of (kg/d):, 227891.7148 
