year,month,day,TP(kg)
2002,5,23,2083.97
2002,5,24,1451.31
2002,5,25,1228.01
2002,5,26,1161.71
2002,5,27,1567.48
2002,5,28,1317.22
2002,5,29,881.43
2002,5,30,1095.85
2002,5,31,2326.65
2002,6,1,2132.42
2002,6,2,964.60
2002,6,3,799.93
2002,6,4,1045.03
2002,6,5,980.90
2002,6,6,3117.34
2002,6,7,3301.31
2002,6,8,2355.81
2002,6,9,1454.25
2002,6,10,972.58
2002,6,11,849.23
2002,6,12,761.97
2002,6,13,780.83
2002,6,14,848.21
2002,6,15,803.68
2002,6,16,601.26
2002,6,17,571.29
2002,6,18,447.12
2002,6,19,406.97
2002,6,20,359.01
2002,6,21,365.89
2002,6,22,323.26
2002,6,23,260.59
2002,6,24,278.76
2002,6,25,313.60
2002,6,26,520.18
2002,6,27,779.36
2002,6,28,1421.48
2002,6,29,1923.01
2002,6,30,1265.11
2002,7,1,643.62
2002,7,2,529.93
2002,7,3,392.99
2002,7,4,301.48
2002,7,5,267.16
2002,7,6,224.98
2002,7,7,165.11
2002,7,8,168.08
2002,7,9,196.02
2002,7,10,171.94
2002,7,11,229.47
2002,7,12,210.21
2002,7,13,142.17
2002,7,14,135.38
2002,7,15,146.04
2002,7,16,207.24
2002,7,17,132.15
2002,7,18,109.91
2002,7,19,118.80
2002,7,20,74.50
2002,7,21,108.71
2002,7,22,265.59
2002,7,23,146.78
2002,7,24,136.79
2002,7,25,111.50
2002,7,26,240.36
2002,7,27,217.56
2002,7,28,188.66
2002,7,29,235.91
2002,7,30,526.95
2002,7,31,630.25
2002,8,1,1444.42
2002,8,2,453.76
2002,8,3,318.25
2002,8,4,265.38
2002,8,5,209.14
2002,8,6,171.52
2002,8,7,205.54
2002,8,8,232.19
2002,8,9,207.75
2002,8,10,155.02
2002,8,11,118.68
2002,8,12,96.32
2002,8,13,87.41
2002,8,14,120.89
2002,8,15,110.14
2002,8,16,102.57
2002,8,17,101.66
2002,8,18,138.72
2002,8,19,157.07
2002,8,20,147.90
2002,8,21,107.82
2002,8,22,193.13
2002,8,23,258.48
2002,8,24,571.54
2002,8,25,653.06
2002,8,26,454.87
2002,8,27,398.76
2002,8,28,293.02
2002,8,29,143.74
2002,8,30,129.96
2002,8,31,79.31
2002,9,1,56.95
2002,9,2,63.68
2002,9,3,73.69
2002,9,4,44.99
2002,9,5,37.71
2002,9,6,41.70
2002,9,7,44.93
2002,9,8,49.94
2002,9,9,38.43
2002,9,10,36.18
2002,9,11,51.52
2002,9,12,27.07
2002,9,13,24.24
2002,9,14,24.74
2002,9,15,48.83
2002,9,16,44.48
2002,9,17,32.15
2002,9,18,29.00
2002,9,19,47.19
2002,9,20,53.67
2002,9,21,98.47
2002,9,22,82.82
2002,9,23,130.10
2002,9,24,167.63
2002,9,25,122.74
2002,9,26,90.44
2002,9,27,109.57
2002,9,28,135.48
2002,9,29,120.75
2002,9,30,201.09
2002,10,1,259.43
2002,10,2,276.64
2002,10,3,151.60
