year,month,day,nitrate(kg)
2002,7,11,1642.19
2002,7,12,1118.82
2002,7,13,889.87
2002,7,14,875.99
2002,7,15,885.07
2002,7,16,566.19
2002,7,17,408.53
2002,7,18,294.47
2002,7,19,128.00
2002,7,20,69.24
2002,7,21,0.00
2002,7,22,0.00
2002,7,23,0.00
2002,7,24,0.00
2002,7,25,0.00
2002,7,26,0.00
2002,7,27,0.00
2002,7,28,0.00
2002,7,29,0.00
2002,7,30,148.75
2002,7,31,0.00
2002,8,1,0.00
2002,8,2,0.00
2002,8,3,0.00
2002,8,4,0.00
2002,8,5,0.00
2002,8,6,0.00
2002,8,7,0.00
2002,8,8,0.00
2002,8,9,0.00
2002,8,10,0.00
2002,8,11,0.00
2002,8,12,0.00
2002,8,13,0.00
2002,8,14,0.00
2002,8,15,0.00
2002,8,16,0.00
2002,8,17,0.00
2002,8,18,0.00
2002,8,19,0.00
2002,8,20,0.00
2002,8,21,0.00
2002,8,22,0.00
2002,8,23,0.00
2002,8,24,0.00
2002,8,25,1299.62
2002,8,26,1205.67
2002,8,27,940.80
2002,8,28,222.27
2002,8,29,0.00
2002,8,30,112.82
2002,8,31,73.85
2002,9,1,54.67
2002,9,2,0.00
2002,9,3,0.00
2002,9,4,0.00
2002,9,5,0.00
2002,9,6,6.70
2002,9,7,0.00
2002,9,8,0.00
2002,9,9,0.00
2002,9,10,0.00
2002,9,11,0.00
2002,9,12,0.00
2002,9,13,0.00
2002,9,14,0.00
2002,9,15,0.00
2002,9,16,0.00
2002,9,17,0.00
2002,9,18,0.00
2002,9,19,0.00
2002,9,20,0.00
2002,9,21,0.00
2002,9,22,0.00
2002,9,23,11.69
2002,9,24,0.00
2002,9,25,0.00
2002,9,26,0.00
2002,9,27,0.92
2002,9,28,1.13
2002,9,29,1.01
2002,9,30,0.00
2002,10,1,0.00
2002,10,2,0.00
2002,10,3,0.00
2002,10,4,0.00
2002,10,5,0.00
2002,10,6,17.03
2002,10,7,10.83
2002,10,8,7.49
2002,10,9,0.00
2002,10,10,17.47
2002,10,11,8.32
2002,10,12,11.52
2002,10,13,18.35
2002,10,14,10.21
2002,10,15,10.50
2002,10,16,15.07
2002,10,17,10.94
2002,10,18,10.72
2002,10,19,25.18
2002,10,20,13.73
2002,10,21,15.54
2002,10,22,15.93
2002,10,23,24.22
2002,10,24,16.88
2002,10,25,10.42
2002,10,26,27.38
2002,10,27,12.48
2002,10,28,4.40
2002,10,29,7.67
2002,10,30,16.44
2002,10,31,0.00
2002,11,1,0.00
2002,11,2,12.18
2002,11,3,0.00
2002,11,4,9.10
2002,11,5,0.00
2002,11,6,0.00
2002,11,7,24.81
2002,11,8,16.78
2002,11,9,0.00
2002,11,10,0.00
2002,11,11,24.71
2002,11,12,1202.25
2002,11,13,13798.17
2002,11,14,8501.35
2002,11,15,7446.87
2002,11,16,6703.12
2002,11,17,5241.53
2002,11,18,4915.04
2002,11,19,4929.84
2002,11,20,3367.27
2002,11,21,3986.93
2002,11,22,6224.32
2002,11,23,6313.62
2002,11,24,7874.05
2002,11,25,11459.37
2002,11,26,27111.44
2002,11,27,37566.13
2002,11,28,29621.86
2002,11,29,23250.50
2002,11,30,17845.64
2002,12,1,19071.51
2002,12,2,18893.04
2002,12,3,21087.00
2002,12,4,18601.19
2002,12,5,17798.81
2002,12,6,14164.47
2002,12,7,12260.82
2002,12,8,7141.54
2002,12,9,7560.21
2002,12,10,11508.67
2002,12,11,12416.25
2002,12,12,10016.88
2002,12,13,7126.28
2002,12,14,7613.14
2002,12,15,6888.81
2002,12,16,6385.55
2002,12,17,8417.04
2002,12,18,8116.53
2002,12,19,20564.90
2002,12,20,282876.02
2002,12,21,405328.40
2002,12,22,339990.26
2002,12,23,274267.76
2002,12,24,112497.27
2002,12,25,95926.15
2002,12,26,73381.49
2002,12,27,75218.37
2002,12,28,73356.04
2002,12,29,52033.68
2002,12,30,46390.91
2002,12,31,215405.94
2003,1,1,709248.85
2003,1,2,595779.31
2003,1,3,447876.72
2003,1,4,259277.37
2003,1,5,196062.37
2003,1,6,125492.48
2003,1,7,98719.16
2003,1,8,84729.66
2003,1,9,77448.67
2003,1,10,74840.62
2003,1,11,116503.29
2003,1,12,183326.50
2003,1,13,120010.45
2003,1,14,76269.42
2003,1,15,56897.47
2003,1,16,48845.80
2003,1,17,38694.98
2003,1,18,31707.57
2003,1,19,28250.56
2003,1,20,25565.69
2003,1,21,27788.16
2003,1,22,26381.38
2003,1,23,23144.32
2003,1,24,19398.13
2003,1,25,20317.90
2003,1,26,19472.26
2003,1,27,23987.66
2003,1,28,26246.82
2003,1,29,24822.91
2003,1,30,22657.70
2003,1,31,21718.22
2003,2,1,20022.74
2003,2,2,17227.78
2003,2,3,15847.67
2003,2,4,26489.03
2003,2,5,50242.79
2003,2,6,74140.90
2003,2,7,97400.46
2003,2,8,80531.35
2003,2,9,49616.47
2003,2,10,21395.27
2003,2,11,16147.37
2003,2,12,10626.68
2003,2,13,8477.37
2003,2,14,6782.87
2003,2,15,5296.83
2003,2,16,4276.61
2003,2,17,8725.70
2003,2,18,13456.14
2003,2,19,8126.29
2003,2,20,5691.95
2003,2,21,3859.22
2003,2,22,6356.19
2003,2,23,14591.35
2003,2,24,19274.09
2003,2,25,31585.24
2003,2,26,44625.46
2003,2,27,25689.00
2003,2,28,21285.17
2003,3,1,16303.95
2003,3,2,12022.45
2003,3,3,9937.97
2003,3,4,8127.51
2003,3,5,7339.71
2003,3,6,8543.43
2003,3,7,11312.95
2003,3,8,34266.68
2003,3,9,32099.02
2003,3,10,38753.69
2003,3,11,74008.79
2003,3,12,61164.29
2003,3,13,68993.32
2003,3,14,73641.80
2003,3,15,128461.32
2003,3,16,295056.53
2003,3,17,484717.20
2003,3,18,470047.55
2003,3,19,428620.98
2003,3,20,396403.30
2003,3,21,463965.38
2003,3,22,470211.47
2003,3,23,452982.72
