year,month,day,flow (cms)
1977,7,6,78.154368
1977,7,7,60.314784
1977,7,8,42.4752
1977,7,9,32.847488
1977,7,10,27.8354144
1977,7,11,27.325712
1977,7,12,26.4478912
1977,7,13,23.2480928
1977,7,14,24.5223488
1977,7,15,22.5968064
1977,7,16,18.5191872
1977,7,17,18.7457216
1977,7,18,14.8380032
1977,7,19,14.583152
1977,7,20,16.9051296
1977,7,21,25.4568032
1977,7,22,33.696992
1977,7,23,28.3168
1977,7,24,18.7457216
1977,7,25,16.8768128
1977,7,26,12.4310752
1977,7,27,12.600976
1977,7,28,10.9869184
1977,7,29,11.4399872
1977,7,30,11.2700864
1977,7,31,11.751472
1977,8,1,9.344544
1977,8,2,8.1269216
1977,8,3,8.4667232
1977,8,4,7.8154368
1977,8,5,9.1180096
1977,8,6,43.89104
1977,8,7,45.873216
1977,8,8,39.077184
1977,8,9,52.38608
1977,8,10,46.72272
1977,8,11,47.855392
1977,8,12,85.233568
1977,8,13,117.797888
1977,8,14,109.869184
1977,8,15,73.906848
1977,8,16,53.80192
1977,8,17,58.04944
1977,8,18,54.934592
1977,8,19,34.263328
1977,8,20,23.7011616
1977,8,21,34.546496
1977,8,22,31.14848
1977,8,23,30.015808
1977,8,24,29.449472
1977,8,25,32.281152
1977,8,26,28.883136
1977,8,27,25.4001696
1977,8,28,20.52968
1977,8,29,18.3209696
1977,8,30,17.0750304
1977,8,31,16.2538432
1977,9,1,19.6235424
1977,9,2,16.2538432
1977,9,3,12.6576096
1977,9,4,14.4132512
1977,9,5,21.4641344
1977,9,6,18.3209696
1977,9,7,18.7457216
1977,9,8,16.6502784
1977,9,9,16.2538432
1977,9,10,14.4132512
1977,9,11,7.928704
1977,9,12,6.9659328
1977,9,13,12.2328576
1977,9,14,30.582144
1977,9,15,112.984032
1977,9,16,154.892896
1977,9,17,220.87104
1977,9,18,308.65312
1977,9,19,291.66304
1977,9,20,297.3264
1977,9,21,270.991776
1977,9,22,215.20768
1977,9,23,165.086944
1977,9,24,92.312768
1977,9,25,64.845472
1977,9,26,54.085088
1977,9,27,43.607872
1977,9,28,45.023712
1977,9,29,37.944512
1977,9,30,42.192032
1977,10,1,41.05936
1977,10,2,41.625696
1977,10,3,42.4752
1977,10,4,42.192032
1977,10,5,42.758368
1977,10,6,34.829664
1977,10,7,26.4478912
1977,10,8,29.166304
1977,10,9,42.758368
1977,10,10,60.88112
1977,10,11,60.314784
1977,10,12,60.597952
1977,10,13,52.952416
1977,10,14,47.289056
1977,10,15,37.944512
1977,10,16,30.865312
1977,10,17,29.73264
1977,10,18,29.73264
1977,10,19,25.3152192
1977,10,20,24.0126464
1977,10,21,23.219776
1977,10,22,19.538592
1977,10,23,18.972256
1977,10,24,21.4924512
1977,10,25,19.3403744
1977,10,26,21.6906688
1977,10,27,21.1243328
1977,10,28,17.9528512
1977,10,29,20.8411648
1977,10,30,20.954432
1977,10,31,16.8768128
1977,11,1,19.0288896
1977,11,2,25.8249216
1977,11,3,40.493024
1977,11,4,39.64352
1977,11,5,29.449472
1977,11,6,29.449472
1977,11,7,27.3540288
1977,11,8,27.1558112
1977,11,9,23.9560128
1977,11,10,35.679168
1977,11,11,36.81184
1977,11,12,34.263328
1977,11,13,34.829664
1977,11,14,30.865312
1977,11,15,33.98016
1977,11,16,30.865312
1977,11,17,37.661344
1977,11,18,45.023712
1977,11,19,41.342528
1977,11,20,43.607872
1977,11,21,56.350432
1977,11,22,55.21776
1977,11,23,57.483104
1977,11,24,53.80192
1977,11,25,51.253408
1977,11,26,53.518752
1977,11,27,44.457376
1977,11,28,53.235584
1977,11,29,38.22768
1977,11,30,38.510848
1977,12,1,126.576096
1977,12,2,390.77184
1977,12,3,433.24704
1977,12,4,334.13824
1977,12,5,249.18784
1977,12,6,187.174048
1977,12,7,120.3464
1977,12,8,105.055328
1977,12,9,68.243488
1977,12,10,73.62368
1977,12,11,79.28704
1977,12,12,87.78208
1977,12,13,107.60384
1977,12,14,226.5344
1977,12,15,481.3856
1977,12,16,1076.0384
1977,12,17,1429.9984
1977,12,18,1588.57248
1977,12,19,1812.2752
1977,12,20,1721.66144
1977,12,21,1404.51328
1977,12,22,996.75136
1977,12,23,730.57344
1977,12,24,597.48448
1977,12,25,588.98944
1977,12,26,506.87072
1977,12,27,368.1184
1977,12,28,201.332448
1977,12,29,168.48496
1977,12,30,159.140416
1977,12,31,142.150336
1978,1,1,127.708768
1978,1,2,102.506816
1978,1,3,138.185984
1978,1,4,186.89088
1978,1,5,108.453344
1978,1,6,58.04944
1978,1,7,51.819744
1978,1,8,48.13856
1978,1,9,45.30688
1978,1,10,45.30688
1978,1,11,42.4752
1978,1,12,39.64352
1978,1,13,39.64352
1978,1,14,36.81184
1978,1,15,36.81184
1978,1,16,33.98016
1978,1,17,33.98016
1978,1,18,33.98016
