year,month,day,DRP(kg)
2003,3,25,1546.21
2003,3,26,1408.08
2003,3,27,1064.83
2003,3,28,832.58
2003,3,29,1073.88
2003,3,30,1478.92
2003,3,31,1589.87
2003,4,1,1352.46
2003,4,2,905.31
2003,4,3,668.94
2003,4,4,556.52
2003,4,5,3345.61
2003,4,6,6333.00
2003,4,7,5436.28
2003,4,8,6097.52
2003,4,9,5399.37
2003,4,10,4042.71
2003,4,11,2493.49
2003,4,12,1700.02
2003,4,13,1174.81
2003,4,14,817.94
2003,4,15,456.43
2003,4,16,219.10
2003,4,17,216.98
2003,4,18,210.06
2003,4,19,102.29
2003,4,20,43.69
2003,4,21,8.59
2003,4,22,6.00
2003,4,23,0.68
2003,4,24,1.16
2003,4,25,0.00
2003,4,26,0.00
2003,4,27,1.23
2003,4,28,0.15
2003,4,29,0.26
2003,4,30,32.18
2003,5,1,0.00
2003,5,2,216.62
2003,5,3,2.64
2003,5,4,912.89
2003,5,5,1129.29
2003,5,6,8197.45
2003,5,7,9657.60
2003,5,8,6512.50
2003,5,9,7466.99
2003,5,10,16222.97
2003,5,11,16549.00
2003,5,12,14935.83
2003,5,13,14502.92
2003,5,14,11460.18
2003,5,15,7778.92
2003,5,16,5317.08
2003,5,17,3562.61
2003,5,18,3031.30
2003,5,19,1800.51
2003,5,20,1547.31
2003,5,21,1238.58
2003,5,22,942.18
